Frame,Nose_x,Nose_y,Nose_likelihood,Left_Ear_x,Left_Ear_y,Left_Ear_likelihood,Right_Ear_x,Right_Ear_y,Right_Ear_likelihood,Body_Center_x,Body_Center_y,Body_Center_likelihood,Left_Body_x,Left_Body_y,Left_Body_likelihood,Right_Body_x,Right_Body_y,Right_Body_likelihood,Tail_Base_x,Tail_Base_y,Tail_Base_likelihood,Head_Center_x,Head_Center_y
52,117.07,150.43,0.19,118.04,159.93,0.18,122.35,156.31,0.24,114.97,154.87,0.05,117.86,153.85,0.04,123.64,163.35,0.06,118.77,145.28,0.19,119.15,155.56
53,116.96,150.25,0.2,117.89,159.8,0.19,122.43,156.13,0.26,115.0,155.06,0.05,117.81,154.12,0.04,123.66,163.36,0.08,118.74,145.25,0.19,119.09,155.4
54,118.31,150.16,0.2,117.8,159.77,0.19,122.45,156.04,0.26,114.98,155.06,0.05,117.81,154.16,0.04,123.73,163.44,0.08,118.79,145.24,0.18,119.52,155.32
55,118.2,150.33,0.21,117.77,159.86,0.19,122.39,156.08,0.26,114.98,155.02,0.05,117.93,154.25,0.04,123.89,163.54,0.08,118.81,145.23,0.18,119.45,155.42
56,118.05,150.02,0.22,117.68,159.38,0.18,122.63,155.16,0.28,122.5,162.78,0.05,117.98,154.62,0.04,124.51,163.86,0.09,118.93,145.23,0.16,119.45,154.85
57,117.92,150.34,0.23,117.63,159.4,0.19,122.52,155.34,0.28,114.99,155.1,0.05,118.02,154.69,0.04,124.61,164.08,0.08,118.79,145.25,0.15,119.36,155.03
58,117.88,150.53,0.24,117.52,159.46,0.21,122.43,155.53,0.29,114.93,155.11,0.06,118.04,154.84,0.04,124.51,164.02,0.08,118.62,145.2,0.16,119.27,155.18
59,117.92,151.13,0.24,117.61,159.75,0.23,122.13,156.19,0.28,114.87,154.81,0.06,118.17,154.62,0.04,124.37,164.0,0.08,118.48,145.19,0.16,119.22,155.69
60,116.73,148.81,0.25,117.61,159.73,0.23,122.16,156.21,0.29,114.79,154.75,0.06,118.09,154.52,0.04,124.42,164.14,0.08,118.45,145.22,0.16,118.83,154.92
61,116.77,148.9,0.24,117.7,159.71,0.22,122.18,156.2,0.27,114.76,154.66,0.05,118.06,154.25,0.04,124.52,164.16,0.07,118.53,145.3,0.15,118.88,154.94
62,116.85,148.78,0.24,117.69,159.53,0.21,122.31,155.95,0.28,115.06,158.46,0.05,117.95,154.26,0.04,124.71,164.33,0.07,118.55,145.33,0.14,118.95,154.76
63,116.85,148.51,0.25,117.5,159.26,0.2,122.47,155.51,0.29,115.1,158.72,0.05,117.79,154.61,0.04,124.88,164.54,0.08,118.57,145.29,0.13,118.94,154.43
64,116.88,148.22,0.25,117.44,159.17,0.19,122.55,155.24,0.29,122.83,163.55,0.05,117.81,154.84,0.04,125.02,164.64,0.09,118.6,145.23,0.13,118.96,154.21
65,117.02,148.0,0.25,117.44,159.07,0.18,122.61,154.94,0.3,122.9,163.79,0.06,117.78,154.87,0.04,125.19,164.77,0.09,118.66,145.18,0.12,119.02,154.0
66,117.07,147.9,0.25,117.41,159.03,0.18,122.63,154.86,0.3,122.9,163.94,0.07,117.76,154.94,0.04,125.27,164.89,0.09,118.66,145.17,0.12,119.04,153.93
67,117.17,147.79,0.23,117.44,159.16,0.17,122.58,154.89,0.29,122.79,163.85,0.06,117.76,154.86,0.04,125.12,164.82,0.09,118.67,145.15,0.12,119.06,153.95
68,118.04,149.77,0.22,117.49,159.28,0.17,122.51,154.93,0.29,122.66,162.04,0.05,117.79,154.7,0.04,125.01,164.73,0.08,118.73,145.17,0.12,119.35,154.66
69,116.55,148.98,0.21,117.57,159.32,0.16,122.53,154.5,0.28,122.71,162.03,0.05,217.05,13.7,0.03,125.04,164.88,0.07,118.84,145.08,0.11,118.88,154.27
